model,n_ctx,kv_tokens_final,compute_only_pred_tps,memory_bound_pred_tps,measured_tps,compute_overestimate,memory_pred_error_pct
smollm2-135m,1024,186,1155555.5555555555,14169.872550972175,404.493375606507,2856.797231408025,3403.1160967038163
smollm2-135m,1024,186,1155555.5555555555,14169.872550972175,458.3512365327248,2521.113642666158,2991.487798344904
smollm2-135m,1024,186,1155555.5555555555,14169.872550972175,457.5190078333007,2525.6995573320264,2997.1112256247593
smollm2-135m,1024,244,1155555.5555555555,13999.399619317162,455.9000565684771,2534.6685943698467,2970.7167980389195
smollm2-135m,1024,244,1155555.5555555555,13999.399619317162,455.19721419330773,2538.58222222078,2975.458105367944
smollm2-135m,1024,244,1155555.5555555555,13999.399619317162,453.4839187752211,2548.173171557007,2987.0774110638886
smollm2-135m,2048,186,1155555.5555555555,14169.872550972175,458.0244919985513,2522.9121493337316,2993.6931973098494
smollm2-135m,2048,186,1155555.5555555555,14169.872550972175,450.14238408717574,2567.0889842973943,3047.864553947002
smollm2-135m,2048,186,1155555.5555555555,14169.872550972175,460.7301565519683,2508.0962014806037,2975.5253046636367
smollm2-135m,2048,244,1155555.5555555555,13999.399619317162,459.7281031916161,2513.563011556673,2945.14766926967
smollm2-135m,2048,244,1155555.5555555555,13999.399619317162,458.43349430271434,2520.661273481285,2953.747117803969
smollm2-135m,2048,244,1155555.5555555555,13999.399619317162,456.70505358935,2530.200939257796,2965.3042941593626
smollm2-135m,4096,186,1155555.5555555555,14169.872550972175,459.442869101563,2515.123496889255,2984.142448152749
smollm2-135m,4096,186,1155555.5555555555,14169.872550972175,459.1204647621581,2516.8896711109956,2986.3081998125936
smollm2-135m,4096,186,1155555.5555555555,14169.872550972175,460.76023891261724,2507.9324515557983,2975.3245081243826
smollm2-135m,4096,244,1155555.5555555555,13999.399619317162,458.84773886624095,2518.3856379259882,2950.9902160372503
smollm2-135m,4096,244,1155555.5555555555,13999.399619317162,459.870625394118,2512.784013036758,2944.203923074975
smollm2-135m,4096,244,1155555.5555555555,13999.399619317162,457.0799030489571,2528.1259312593006,2962.7904499703436
tinyllama-1.1b,1024,179,141818.18181818182,2311.165831591175,428.60837951211676,330.880562763642,439.22553595941497
tinyllama-1.1b,1024,179,141818.18181818182,2311.165831591175,429.0318287559748,330.55398763630035,438.6933268547128
tinyllama-1.1b,1024,179,141818.18181818182,2311.165831591175,428.4835857635502,330.976930109153,439.3825827593181
tinyllama-1.1b,1024,241,141818.18181818182,2306.3779267001473,423.94644179454605,334.5190992000591,444.02577762826695
tinyllama-1.1b,1024,241,141818.18181818182,2306.3779267001473,425.3567933901137,333.4099373090629,442.2219563764826
tinyllama-1.1b,1024,241,141818.18181818182,2306.3779267001473,424.13180347086,334.37290167259397,443.7880177402464
tinyllama-1.1b,2048,179,141818.18181818182,2311.165831591175,426.00532464044204,332.9023690909956,442.520409467147
tinyllama-1.1b,2048,179,141818.18181818182,2311.165831591175,427.37992752378454,331.83163898189713,440.7754746419517
tinyllama-1.1b,2048,179,141818.18181818182,2311.165831591175,426.2349764886348,332.7230040727624,442.2281039981242
tinyllama-1.1b,2048,241,141818.18181818182,2306.3779267001473,422.61706207354246,335.5713589090804,445.7370593094509
tinyllama-1.1b,2048,241,141818.18181818182,2306.3779267001473,421.6923563430791,336.3072146908962,446.9337757746151
tinyllama-1.1b,2048,241,141818.18181818182,2306.3779267001473,421.07750736059774,336.79828378183385,447.7323975714135
tinyllama-1.1b,4096,179,141818.18181818182,2311.165831591175,422.92752360380535,335.32502356369645,446.4685324562262
tinyllama-1.1b,4096,179,141818.18181818182,2311.165831591175,424.08881944360456,334.4067924361794,444.97212037407047
