idx,gpu_tag,model,n_ctx,prompt_kind,seed,max_new,n_decoded,prefill_ms_measured,decode_ms_measured,decode_ms_modeled,decode_tps_measured,bytes_per_token,kv_tokens_final,kv_tier_final,ai_flop_per_byte,ridge_point,migrations,gpu
1,a100,smollm2-135m,1024,short,42,150,150,332.8052570000182,370.83425600008013,4.764113858865672,404.493375606507,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,1,NVIDIA A100-SXM4-40GB
2,a100,smollm2-135m,1024,short,1337,150,150,7.763462999946569,327.25994399993397,9.528227717731344,458.3512365327248,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,3,NVIDIA A100-SXM4-40GB
3,a100,smollm2-135m,1024,short,2024,150,150,6.468899000083184,327.8552309998304,14.292341576597014,457.5190078333007,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,5,NVIDIA A100-SXM4-40GB
4,a100,smollm2-135m,1024,long,42,150,150,9.154429999853164,329.01948099993206,19.133931080597016,455.9000565684771,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,7,NVIDIA A100-SXM4-40GB
5,a100,smollm2-135m,1024,long,1337,150,150,6.529883999974118,329.5274999998128,23.975520584597014,455.19721419330773,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,9,NVIDIA A100-SXM4-40GB
6,a100,smollm2-135m,1024,long,2024,150,150,6.6390599999976985,330.77247900018847,28.817110088597016,453.4839187752211,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,11,NVIDIA A100-SXM4-40GB
7,a100,smollm2-135m,2048,short,42,150,150,6.9714530000055674,327.49340400005167,4.764113858865672,458.0244919985513,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,1,NVIDIA A100-SXM4-40GB
8,a100,smollm2-135m,2048,short,1337,150,150,6.447158000128184,333.22789700014255,9.528227717731344,450.14238408717574,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,3,NVIDIA A100-SXM4-40GB
9,a100,smollm2-135m,2048,short,2024,150,150,6.218486000079793,325.570179999886,14.292341576597014,460.7301565519683,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,5,NVIDIA A100-SXM4-40GB
10,a100,smollm2-135m,2048,long,42,150,150,6.763038999906712,326.27981400014505,19.133931080597016,459.7281031916161,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,7,NVIDIA A100-SXM4-40GB
11,a100,smollm2-135m,2048,long,1337,150,150,6.467122000003656,327.20122299997456,23.975520584597014,458.43349430271434,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,9,NVIDIA A100-SXM4-40GB
12,a100,smollm2-135m,2048,long,2024,150,150,6.5233850000367966,328.4395449998101,28.817110088597016,456.70505358935,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,11,NVIDIA A100-SXM4-40GB
