model,kv_bits,ctx,kv_bytes,kv_mb,kv_tier,bytes_per_tok,weight_tier
smollm2-135m,16,128,2949120,2.94912,SRAM,108426592,HBM
smollm2-135m,16,512,11796480,11.79648,HBM,117273952,HBM
smollm2-135m,16,2048,47185920,47.18592,HBM,152663392,HBM
smollm2-135m,16,8192,188743680,188.74368,HBM,294221152,HBM
smollm2-135m,16,32768,754974720,754.97472,HBM,860452192,HBM
smollm2-135m,16,131072,3019898880,3019.89888,HBM,3125376352,HBM
smollm2-135m,16,524288,12079595520,12079.59552,HBM,12185072992,HBM
smollm2-135m,16,2097152,48318382080,48318.38208,DRAM,48423859552,HBM
smollm2-135m,8,128,1474560,1.47456,SRAM,106940512,HBM
smollm2-135m,8,512,5898240,5.89824,HBM,111364192,HBM
smollm2-135m,8,2048,23592960,23.59296,HBM,129058912,HBM
smollm2-135m,8,8192,94371840,94.37184,HBM,199837792,HBM
smollm2-135m,8,32768,377487360,377.48736,HBM,482953312,HBM
smollm2-135m,8,131072,1509949440,1509.94944,HBM,1615415392,HBM
smollm2-135m,8,524288,6039797760,6039.79776,HBM,6145263712,HBM
smollm2-135m,8,2097152,24159191040,24159.19104,HBM,24264656992,HBM
smollm2-135m,4,128,737280,0.73728,SRAM,106197472,HBM
smollm2-135m,4,512,2949120,2.94912,SRAM,108409312,HBM
smollm2-135m,4,2048,11796480,11.79648,HBM,117256672,HBM
smollm2-135m,4,8192,47185920,47.18592,HBM,152646112,HBM
smollm2-135m,4,32768,188743680,188.74368,HBM,294203872,HBM
smollm2-135m,4,131072,754974720,754.97472,HBM,860434912,HBM
smollm2-135m,4,524288,3019898880,3019.89888,HBM,3125359072,HBM
smollm2-135m,4,2097152,12079595520,12079.59552,HBM,12185055712,HBM
tinyllama-1.1b,16,128,2883584,2.883584,SRAM,671694208,HBM
tinyllama-1.1b,16,512,11534336,11.534336,HBM,680344960,HBM
tinyllama-1.1b,16,2048,46137344,46.137344,HBM,714947968,HBM
tinyllama-1.1b,16,8192,184549376,184.549376,HBM,853360000,HBM
tinyllama-1.1b,16,32768,738197504,738.197504,HBM,1407008128,HBM
tinyllama-1.1b,16,131072,2952790016,2952.790016,HBM,3621600640,HBM
tinyllama-1.1b,16,524288,11811160064,11811.160064,HBM,12479970688,HBM
tinyllama-1.1b,16,2097152,47244640256,47244.640256,DRAM,47913450880,HBM
tinyllama-1.1b,8,128,1441792,1.441792,SRAM,670241152,HBM
tinyllama-1.1b,8,512,5767168,5.767168,HBM,674566528,HBM
tinyllama-1.1b,8,2048,23068672,23.068672,HBM,691868032,HBM
tinyllama-1.1b,8,8192,92274688,92.274688,HBM,761074048,HBM
tinyllama-1.1b,8,32768,369098752,369.098752,HBM,1037898112,HBM
tinyllama-1.1b,8,131072,1476395008,1476.395008,HBM,2145194368,HBM
tinyllama-1.1b,8,524288,5905580032,5905.580032,HBM,6574379392,HBM
tinyllama-1.1b,8,2097152,23622320128,23622.320128,HBM,24291119488,HBM
tinyllama-1.1b,4,128,720896,0.720896,SRAM,669514624,HBM
tinyllama-1.1b,4,512,2883584,2.883584,SRAM,671677312,HBM
tinyllama-1.1b,4,2048,11534336,11.534336,HBM,680328064,HBM
tinyllama-1.1b,4,8192,46137344,46.137344,HBM,714931072,HBM
tinyllama-1.1b,4,32768,184549376,184.549376,HBM,853343104,HBM
tinyllama-1.1b,4,131072,738197504,738.197504,HBM,1406991232,HBM
tinyllama-1.1b,4,524288,2952790016,2952.790016,HBM,3621583744,HBM
tinyllama-1.1b,4,2097152,11811160064,11811.160064,HBM,12479953792,HBM
llama-2-7b,16,128,67108864,67.108864,HBM,4148637376,HBM
llama-2-7b,16,512,268435456,268.435456,HBM,4349963968,HBM
llama-2-7b,16,2048,1073741824,1073.741824,HBM,5155270336,HBM
llama-2-7b,16,8192,4294967296,4294.967296,HBM,8376495808,HBM
llama-2-7b,16,32768,17179869184,17179.869184,HBM,21261397696,HBM
llama-2-7b,16,131072,68719476736,68719.476736,DRAM,72801005248,HBM
llama-2-7b,16,524288,274877906944,274877.906944,FAR_MEM,278959435456,HBM
llama-2-7b,16,2097152,1099511627776,1099511.627776,FAR_MEM,1103593156288,HBM
llama-2-7b,8,128,33554432,33.554432,HBM,4114820800,HBM
llama-2-7b,8,512,134217728,134.217728,HBM,4215484096,HBM
llama-2-7b,8,2048,536870912,536.870912,HBM,4618137280,HBM
llama-2-7b,8,8192,2147483648,2147.483648,HBM,6228750016,HBM
llama-2-7b,8,32768,8589934592,8589.934592,HBM,12671200960,HBM
llama-2-7b,8,131072,34359738368,34359.738368,HBM,38441004736,HBM
llama-2-7b,8,524288,137438953472,137438.953472,FAR_MEM,141520219840,HBM
llama-2-7b,8,2097152,549755813888,549755.813888,FAR_MEM,553837080256,HBM
llama-2-7b,4,128,16777216,16.777216,HBM,4097912512,HBM
llama-2-7b,4,512,67108864,67.108864,HBM,4148244160,HBM
llama-2-7b,4,2048,268435456,268.435456,HBM,4349570752,HBM
llama-2-7b,4,8192,1073741824,1073.741824,HBM,5154877120,HBM
llama-2-7b,4,32768,4294967296,4294.967296,HBM,8376102592,HBM
llama-2-7b,4,131072,17179869184,17179.869184,HBM,21261004480,HBM
llama-2-7b,4,524288,68719476736,68719.476736,DRAM,72800612032,HBM
llama-2-7b,4,2097152,274877906944,274877.906944,FAR_MEM,278959042240,HBM
