model,n_ctx,kv_tokens_final,compute_only_pred_tps,memory_bound_pred_tps,measured_tps,compute_overestimate,memory_pred_error_pct
smollm2-135m,1024,186,240740.74074074073,2915.986634283663,151.18934519578204,1592.31287382715,1828.6985008815386
smollm2-135m,1024,186,240740.74074074073,2915.986634283663,122.2154499110763,1969.8061162962879,2285.9394507039237
smollm2-135m,1024,186,240740.74074074073,2915.986634283663,67.62000767546724,3560.1998434567213,4212.313373696337
smollm2-135m,1024,244,240740.74074074073,2880.9053878980653,165.63539072559948,1453.4378171604933,1639.3054559642565
smollm2-135m,1024,244,240740.74074074073,2880.9053878980653,230.10596801687248,1046.2168487654717,1151.9907296306296
smollm2-135m,1024,244,240740.74074074073,2880.9053878980653,344.50235934852975,698.8072337036903,736.2512794820893
smollm2-135m,2048,186,240740.74074074073,2915.986634283663,341.51875699906685,704.9122070369872,753.8291307647359
smollm2-135m,2048,186,240740.74074074073,2915.986634283663,346.29722306035717,695.1853053086172,742.0473628156778
smollm2-135m,2048,186,240740.74074074073,2915.986634283663,343.4139766498401,701.0219650617497,749.1170518831068
smollm2-135m,2048,244,240740.74074074073,2880.9053878980653,330.77523016680635,727.8076433333227,770.9555991980584
smollm2-135m,2048,244,240740.74074074073,2880.9053878980653,337.78787642426926,712.6979904937881,752.8741227762665
smollm2-135m,2048,244,240740.74074074073,2880.9053878980653,330.44385588820506,728.5375002469028,771.8290071257145
smollm2-135m,4096,186,240740.74074074073,2915.986634283663,327.7852281781863,734.4465828395183,789.602820264528
smollm2-135m,4096,186,240740.74074074073,2915.986634283663,336.2897687873275,715.8729259259363,767.1053671358518
smollm2-135m,4096,186,240740.74074074073,2915.986634283663,348.1801488268381,691.4258080246537,737.4936492240639
smollm2-135m,4096,244,240740.74074074073,2880.9053878980653,323.02245721680094,745.2755539506168,791.8591644433274
smollm2-135m,4096,244,240740.74074074073,2880.9053878980653,342.69041985561444,702.5021033332997,740.672870024168
smollm2-135m,4096,244,240740.74074074073,2880.9053878980653,321.2255623798978,749.4445303703085,796.8481108894314
tinyllama-1.1b,1024,179,29545.454545454544,475.6096888161904,172.54880857952534,171.2295482575729,175.63777039757915
tinyllama-1.1b,1024,179,29545.454545454544,475.6096888161904,191.19842352259667,154.52771001515467,148.75188824973796
tinyllama-1.1b,1024,179,29545.454545454544,475.6096888161904,187.2277177724925,157.8049174393951,154.0273921375903
tinyllama-1.1b,1024,241,29545.454545454544,474.62439649134865,187.79206431223892,157.33068728788123,152.7393253967314
tinyllama-1.1b,1024,241,29545.454545454544,474.62439649134865,192.79240231464718,153.25009798485127,146.18418090809257
tinyllama-1.1b,1024,241,29545.454545454544,474.62439649134865,192.88457818089773,153.17686268181168,146.06653417683805
tinyllama-1.1b,2048,179,29545.454545454544,475.6096888161904,196.4866039107714,150.36879846969995,142.05705597729934
tinyllama-1.1b,2048,179,29545.454545454544,475.6096888161904,194.09967776735084,152.21794742425035,145.03373436109425
tinyllama-1.1b,2048,179,29545.454545454544,475.6096888161904,194.94896967033168,151.5548124999961,143.96624902428047
tinyllama-1.1b,2048,241,29545.454545454544,474.62439649134865,192.0630647831233,153.83204771212584,147.11903719087906
tinyllama-1.1b,2048,241,29545.454545454544,474.62439649134865,192.02904191925774,153.8593029999988,147.16282065861344
tinyllama-1.1b,2048,241,29545.454545454544,474.62439649134865,192.03117086835468,153.85759724242465,147.16008049376697
tinyllama-1.1b,4096,179,29545.454545454544,475.6096888161904,195.8396749048928,150.86552078787375,142.8566576446599
tinyllama-1.1b,4096,179,29545.454545454544,475.6096888161904,193.71740815995983,152.51832463635762,145.51726834144992
tinyllama-1.1b,4096,179,29545.454545454544,475.6096888161904,194.47159999049865,151.92683428787572,144.56511328102786
tinyllama-1.1b,4096,241,29545.454545454544,474.62439649134865,190.04178199071836,155.46820407576237,149.74739318879324
tinyllama-1.1b,4096,241,29545.454545454544,474.62439649134865,189.56888921870953,155.85603031817814,150.3704054222551
tinyllama-1.1b,4096,241,29545.454545454544,474.62439649134865,189.02132918946944,156.30751657575664,151.0956824431168
llama-2-7b,1024,170,4850.746268656716,76.73615826654614,40.75191155310744,119.03113458457715,88.30075778542174
llama-2-7b,1024,170,4850.746268656716,76.73615826654614,40.824879459501474,118.818385574627,87.96420046425091
llama-2-7b,1024,170,4850.746268656716,76.73615826654614,40.08985640992846,120.99684815671736,91.4104093611621
llama-2-7b,1024,232,4850.746268656716,76.14263251121372,39.12539484657283,123.97948410945212,94.61179320950264
llama-2-7b,1024,232,4850.746268656716,76.14263251121372,38.51103566872279,125.9573050796011,97.71639788190348
llama-2-7b,1024,232,4850.746268656716,76.14263251121372,37.81102836759922,128.28919175373144,101.37678290829393
llama-2-7b,2048,170,4850.746268656716,76.73615826654614,38.15160516127132,127.14396283333404,101.13480924897755
llama-2-7b,2048,170,4850.746268656716,76.73615826654614,37.78188029442316,128.38816466666736,103.10306863650953
llama-2-7b,2048,170,4850.746268656716,76.73615826654614,37.19228855922107,130.42344143283628,106.32276538820565
llama-2-7b,2048,232,4850.746268656716,76.14263251121372,36.46754183209414,133.01544400746252,108.79562670221593
llama-2-7b,2048,232,4850.746268656716,76.14263251121372,36.45306106888718,133.0682836069656,108.87856953171412
llama-2-7b,2048,232,4850.746268656716,76.14263251121372,35.65106422210467,136.06175227860703,113.57744620707037
llama-2-7b,4096,170,4850.746268656716,76.73615826654614,35.39236137098208,137.0563048283578,116.81559323549833
llama-2-7b,4096,170,4850.746268656716,76.73615826654614,34.524520997191665,140.50147919651923,122.26567103650217
llama-2-7b,4096,170,4850.746268656716,76.73615826654614,34.13324841442307,142.11206064427853,124.8135229758007
