idx,gpu_tag,model,n_ctx,prompt_kind,seed,max_new,n_decoded,prefill_ms_measured,decode_ms_measured,decode_ms_modeled,decode_tps_measured,bytes_per_token,kv_tokens_final,kv_tier_final,ai_flop_per_byte,ridge_point,migrations,gpu
1,t4,smollm2-135m,1024,short,42,150,150,845.440888999974,992.1334059999936,4.764113858865672,151.18934519578204,108148729.6,186,HBM,2.4965619198544893,203.125,1,Tesla T4
2,t4,smollm2-135m,1024,short,1337,150,150,9.068689000002905,1227.3407339999949,9.528227717731344,122.2154499110763,108148729.6,186,HBM,2.4965619198544893,203.125,3,Tesla T4
3,t4,smollm2-135m,1024,short,2024,150,150,16.456520000019736,2218.278363999957,14.292341576597014,67.62000767546724,108148729.6,186,HBM,2.4965619198544893,203.125,5,Tesla T4
4,t4,smollm2-135m,1024,long,42,150,150,23.533596000049783,905.6035629999997,19.133931080597016,165.63539072559948,110068576.0,244,HBM,2.4530161996463007,203.125,7,Tesla T4
5,t4,smollm2-135m,1024,long,1337,150,150,9.332415000017136,651.8735750000246,23.975520584597014,230.10596801687248,110068576.0,244,HBM,2.4530161996463007,203.125,9,Tesla T4
6,t4,smollm2-135m,1024,long,2024,150,150,5.744521000053737,435.4106609999917,28.817110088597016,344.50235934852975,110068576.0,244,HBM,2.4530161996463007,203.125,11,Tesla T4
7,t4,smollm2-135m,2048,short,42,150,150,6.067553999969277,439.21452899996893,4.764113858865672,341.51875699906685,108148729.6,186,HBM,2.4965619198544893,203.125,1,Tesla T4
8,t4,smollm2-135m,2048,short,1337,150,150,5.5836299999896255,433.1539209999846,9.528227717731344,346.29722306035717,108148729.6,186,HBM,2.4965619198544893,203.125,3,Tesla T4
9,t4,smollm2-135m,2048,short,2024,150,150,6.192995000048995,436.7906090000133,14.292341576597014,343.4139766498401,108148729.6,186,HBM,2.4965619198544893,203.125,5,Tesla T4
10,t4,smollm2-135m,2048,long,42,150,150,6.027679999988322,453.4801469999934,19.133931080597016,330.77523016680635,110068576.0,244,HBM,2.4530161996463007,203.125,7,Tesla T4
11,t4,smollm2-135m,2048,long,1337,150,150,5.711495000014111,444.06567099997574,23.975520584597014,337.78787642426926,110068576.0,244,HBM,2.4530161996463007,203.125,9,Tesla T4
12,t4,smollm2-135m,2048,long,2024,150,150,6.193442999972376,453.93490399999337,28.817110088597016,330.44385588820506,110068576.0,244,HBM,2.4530161996463007,203.125,11,Tesla T4
13,t4,smollm2-135m,4096,short,42,150,150,6.429627000045457,457.6167170000076,4.764113858865672,327.7852281781863,108148729.6,186,HBM,2.4965619198544893,203.125,1,Tesla T4
14,t4,smollm2-135m,4096,short,1337,150,150,9.005939999951806,446.0439000000065,9.528227717731344,336.2897687873275,108148729.6,186,HBM,2.4965619198544893,203.125,3,Tesla T4
15,t4,smollm2-135m,4096,short,2024,150,150,5.683404000023984,430.8114649999766,14.292341576597014,348.1801488268381,108148729.6,186,HBM,2.4965619198544893,203.125,5,Tesla T4
16,t4,smollm2-135m,4096,long,42,150,150,5.968343000006371,464.3639989999997,19.133931080597016,323.02245721680094,110068576.0,244,HBM,2.4530161996463007,203.125,7,Tesla T4
17,t4,smollm2-135m,4096,long,1337,150,150,5.854686999953174,437.7128489999791,23.975520584597014,342.69041985561444,110068576.0,244,HBM,2.4530161996463007,203.125,9,Tesla T4
